date,time,time_formatted,year,month,day,day_of_week,type,details,location,coverage,daily_text,url,newmonth,daycount,lastdaily
6/19/18,15:10:00,3:10 PM,2018,June,19,Tuesday,President Schedule,The President participates in the departure of Their Majesties King Felipe VI and Queen Letizia of Spain,West Wing Lobby,Closed Press,,,FALSE,,FALSE
6/19/18,15:45:00,3:45 PM,2018,June,19,Tuesday,President Schedule,The President signs the 10 millionth United States patent,Oval Office,Closed Press,,,FALSE,,FALSE
6/19/18,17:20:00,5:20 PM,2018,June,19,Tuesday,President Schedule,The President departs the White House en route to the U.S. Capitol,South Portico,In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,17:25:00,5:25 PM,2018,June,19,Tuesday,President Schedule,The President arrives at the U.S. Capitol,U.S Capitol,In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,17:40:00,5:40 PM,2018,June,19,Tuesday,President Schedule,The President delivers remarks to the House Republican Conference,U.S Capitol,Closed Press,,,FALSE,,FALSE
6/19/18,18:50:00,6:50 PM,2018,June,19,Tuesday,President Schedule,The President departs the U.S. Capitol en route to an event site,U.S Capitol,In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,18:55:00,6:55 PM,2018,June,19,Tuesday,President Schedule,The President arrives at the Trump International Hotel,"Trump International Hotel, Washington DC",In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,19:20:00,7:20 PM,2018,June,19,Tuesday,President Schedule,The President delivers remarks at dinner with supporters from the America First Action Super PAC,"Trump International Hotel, Washington DC",In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,19:55:00,7:55 PM,2018,June,19,Tuesday,President Schedule,The President departs the event site en route to the White House,"Trump International Hotel, Washington DC",In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,20:00:00,8:00 PM,2018,June,19,Tuesday,President Schedule,The President arrives at the White House,South Portico,In-Town Travel Pool,,,FALSE,,TRUE
6/18/18,09:00:00,9:00 AM,2018,June,18,Monday,President Schedule,In-Town Pool Call Time,,In-Town Pool,,,,6,FALSE
6/18/18,11:30:00,11:30 AM,2018,June,18,Monday,President Schedule,The President meets with the National Space Council (Pre-set 9:30AM | Final Gather 11:15AM Palm Room Doors),East Room,In-House Pool,,https://factba.se/transcript/donald-trump-remarks-space-initiative-june-18-2018,FALSE,,FALSE
6/18/18,12:30:00,12:30 PM,2018,June,18,Monday,President Schedule,"The President participates in the signing ceremony for H.R. 3249, Safe Neighborhoods Grant Program Authorization Act of 2018",Oval Office,Closed Press,,,FALSE,,FALSE
6/18/18,13:15:00,1:15 PM,2018,June,18,Monday,Briefing Schedule,Press Briefing with the Press Secretary Sarah Sanders,White House Briefing Room,On Camera,,,FALSE,,FALSE
6/18/18,15:00:00,3:00 PM,2018,June,18,Monday,President Schedule,The President meets with Senator Shelby and Senator Moore Capito,Oval Office,Closed Press,,,FALSE,,FALSE
6/18/18,15:30:00,3:30 PM,2018,June,18,Monday,Briefing Schedule,Press Briefing with the Press Secretary Sarah Sanders,White House Briefing Room,On Camera,,,FALSE,,TRUE
6/17/18,,,2018,June,17,Sunday,President Schedule,The President has no public events scheduled.,,,,,,3,FALSE
6/17/18,09:15:00,9:15 AM,2018,June,17,Sunday,President Schedule,In-Town Pool Call Time,,,,,FALSE,,FALSE
6/17/18,11:05:00,11:05 AM,2018,June,17,Sunday,Pool Report Schedule,"The President goes to Trump National Golf Club in Potomac Falls, VA (11:06 am - 3:00 pm)","Trump National Golf Club, Potomac Falls, VA",,,,FALSE,,TRUE
6/16/18,,,2018,June,16,Saturday,President Schedule,The President has no public events scheduled.,,,,,,3,FALSE
6/16/18,09:15:00,9:15 AM,2018,June,16,Saturday,President Schedule,In-Town Pool Call Time,,,,,FALSE,,FALSE
6/16/18,11:15:00,11:15 AM,2018,June,16,Saturday,Pool Report Schedule,"The President goes to Trump National Golf Club in Potomac Falls, VA (11:19 am - 4:21 pm)","Trump National Golf Club, Potomac Falls, VA",,,,FALSE,,TRUE
6/15/18,08:30:00,8:30 AM,2018,June,15,Friday,Pool Report Schedule,The President holds an unscheduled interview with Fox & Friends live from The White House,North Lawn,,ITP,https://factba.se/transcript/donald-trump-interview-steve-doocy-fox-june-15-2018,,4,FALSE
6/15/18,09:00:00,9:00 AM,2018,June,15,Friday,Pool Report Schedule,The President holds an unscheduled press gaggle at The White House,North Lawn,,ITP,https://factba.se/transcript/donald-trump-press-conference-north-lawn-white-house-june-15-2018,FALSE,,FALSE
6/15/18,11:00:00,11:00 AM,2018,June,15,Friday,President Schedule,In-Town Pool Call Time,,,ITP,,FALSE,,FALSE
6/15/18,12:00:00,12:00 PM,2018,June,15,Friday,President Schedule,The President receives his intelligence briefing,Oval Office,Closed Press,ITP,,FALSE,,TRUE
6/14/18,,,2018,June,14,Thursday,President Schedule,The President has no public events scheduled.,,,ITP,,,3,FALSE
6/14/18,11:00:00,11:00 AM,2018,June,14,Thursday,President Schedule,In-Town Pool Call Time,,,ITP,,FALSE,,FALSE
6/14/18,14:30:00,2:30 PM,2018,June,14,Thursday,Briefing Schedule,Press Briefing with the Press Secretary Sarah Sanders,White House Briefing Room,On Camera,ITP,,FALSE,,TRUE
6/13/18,05:20:00,5:20 AM,2018,June,13,Wednesday,President Schedule,In-Town Pool Call Time,,,ITP,,,4,FALSE
6/13/18,05:30:00,5:30 AM,2018,June,13,Wednesday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/13/18,05:40:00,5:40 AM,2018,June,13,Wednesday,President Schedule,The President departs Joint Base Andrews en route to the White House,Joint Base Andrews,Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/13/18,05:50:00,5:50 AM,2018,June,13,Wednesday,President Schedule,The President arrives at the White House,South Lawn,Open Press,,,FALSE,,TRUE
6/12/18,04:00:00,4:00 AM,2018,June,12,Tuesday,President Schedule,The President participates in a media availability (4:00 PM Local 6/12),"Capella Singapore, Sentosa Island, Singapore",Out-of-Town Travel Pool ,,https://factba.se/transcript/donald-trump-press-conference-singapore-north-korea-june-12-2018,,8,FALSE
6/12/18,06:30:00,6:30 AM,2018,June,12,Tuesday,President Schedule,The President departs Capella Singapore en route to Paya Lebar Air Base Singapore (6:30 PM Local 6/12),"Capella Singapore, Sentosa Island, Singapore",Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/12/18,06:50:00,6:50 AM,2018,June,12,Tuesday,President Schedule,"The President arrives at Paya Lebar Air Base, Singapore (6:30 PM Local 6/12)","Paya Lebar Air Base, Singapore",Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/12/18,07:00:00,7:00 AM,2018,June,12,Tuesday,President Schedule,"The President departs Paya Lebar Air Base, Singapore, en route to Andersen Air Force Base, Guam (6:30 PM Local 6/12)","Paya Lebar Air Base, Singapore",Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/12/18,13:10:00,1:10 PM,2018,June,12,Tuesday,President Schedule,"The President arrives at Andersen Air Force Base, Guam (3:10 AM Local 6/13)","Anderson Air Force Base, Guam",Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/12/18,14:40:00,2:40 PM,2018,June,12,Tuesday,President Schedule,"The President departs Andersen Air Force Base, Guam, en route to Joint Base Pearl Harbor Hickam, HI (4:40 AM Local 6/13)","Anderson Air Force Base, Guam",Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/12/18,21:50:00,9:50 PM,2018,June,12,Tuesday,President Schedule,"The President arrives at Joint Base Pearl Harbor Hickam, HI (3:50 PM Local 6/12)","Joint Base Pearl Harbor Hickam, HI",Out-of-Town Travel Pool ,,,FALSE,,FALSE
6/12/18,23:20:00,11:20 PM,2018,June,12,Tuesday,President Schedule,"The President departs Joint Base Pearl Harbor Hickam, HI, en route to Joint Base Andrews (5:20 PM Local 6/12)","Joint Base Pearl Harbor Hickam, H",Out-of-Town Travel Pool ,,,FALSE,,TRUE
6/11/18,00:00:01,12:00 AM,2018,June,11,Monday,President Schedule,The President arrives at Istana Palace (12:00 PM Local),"Istana Palace, Singapore",Out-of-Town Travel Pool,OTP,,,12,FALSE
6/11/18,00:10:00,12:10 AM,2018,June,11,Monday,President Schedule,The President participates in a 1:1 bilateral meeting with the Prime Minister of Singapore (12:10 PM Local),"Istana Palace, Singapore",Closed Press,OTP,,FALSE,,FALSE
6/11/18,00:30:00,12:30 AM,2018,June,11,Monday,President Schedule,The President participates in an expanded bilateral meeting and working lunch with the Prime Minister of Singapore (12:30 PM Local),"Istana Palace, Singapore",Out-of-Town Travel Pool Spray,OTP,,FALSE,,FALSE
6/11/18,02:05:00,2:05 AM,2018,June,11,Monday,President Schedule,"The President departs Istana Palace en route to Shangri-La Hotel, Singapore (2:05 PM Local)","Istana Palace, Singapore",Out-of-Town Travel Pool,OTP,,FALSE,,FALSE
6/11/18,02:15:00,2:15 AM,2018,June,11,Monday,President Schedule,"The President arrives at Shangri-La Hotel, Singapore (2:15 PM Local)","Shangra-La Hotel, Singapore",Out-of-Town Travel Pool,OTP,,FALSE,,FALSE
6/11/18,02:20:00,2:20 AM,2018,June,11,Monday,President Schedule,The President participates in a meet and greet with the U.S. Embassy in Singapore (2:20 PM Local),"Shangra-La Hotel, Singapore",Closed Press,OTP,,FALSE,,FALSE
